Date,Item,Category,Quantity,Unit Price,Revenue
2026-05-23,Soft Drink,Drinks,17,2.50,42.50
2026-05-23,House Wine (glass),Drinks,9,6.00,54.00
2026-05-23,Tiramisu,Desserts,6,6.50,39.00
2026-05-23,Gelato,Desserts,5,4.50,22.50
2026-05-23,Roasted Pumpkin Soup,Seasonal,2,7.00,14.00
2026-05-23,Chef's Special,,1,10.00,10.00
2026-05-24,Margherita Pizza,Mains,14,9.50,133.00
2026-05-24,Pepperoni Pizza,Mains,13,11.00,143.00
2026-05-24,Lasagne,Mains,7,12.50,87.50
2026-05-24,Grilled Chicken,Mains,7,13.00,91.00
2026-05-24,Garlic Bread,Sides,10,4.00,40.00
2026-05-24,House Fries,Sides,18,3.00,54.00
2026-05-24,"Olive, Herb & Feta Flatbread",Sides,1,7.50,7.50
2026-05-24,Still Water,Drinks,7,2.00,14.00
2026-05-24,Soft Drink,Drinks,12,2.50,30.00
2026-05-24,House Wine (glass),Drinks,7,6.00,42.00
2026-05-24,Tiramisu,Desserts,5,6.50,32.50
2026-05-24,Gelato,Desserts,3,4.50,13.50
2026-05-24,Roasted Pumpkin Soup,Seasonal,1,7.00,7.00
2026-05-24,Chef's Special,,1,10.00,10.00
2026-05-25,Margherita Pizza,Mains,14,9.50,133.00
2026-05-25,Pepperoni Pizza,Mains,12,11.00,132.00
2026-05-25,Lasagne,Mains,7,12.50,87.50
2026-05-25,Grilled Chicken,Mains,6,13.00,78.00
2026-05-25,Garlic Bread,Sides,9,4.00,36.00
2026-05-25,House Fries,Sides,15,3.00,45.00
2026-05-25,"Olive, Herb & Feta Flatbread",Sides,1,7.50,7.50
2026-05-25,Still Water,Drinks,7,2.00,14.00
2026-05-25,Soft Drink,Drinks,11,2.50,27.50
2026-05-25,House Wine (glass),Drinks,6,6.00,36.00
2026-05-25,Tiramisu,Desserts,4,6.50,26.00
2026-05-25,Gelato,Desserts,3,4.50,13.50
2026-05-25,Roasted Pumpkin Soup,Seasonal,1,7.00,7.00
2026-05-26,Margherita Pizza,Mains,13,8.55,111.15
2026-05-26,Pepperoni Pizza,Mains,11,11.00,121.00
2026-05-26,Lasagne,Mains,6,12.50,75.00
2026-05-26,Grilled Chicken,Mains,6,13.00,78.00
2026-05-26,Garlic Bread,Sides,9,4.00,36.00
2026-05-26,House Fries,Sides,15,3.00,45.00
2026-05-26,"Olive, Herb & Feta Flatbread",Sides,1,7.50,7.50
2026-05-26,Still Water,Drinks,6,2.00,12.00
2026-05-26,Soft Drink,Drinks,10,2.50,25.00
2026-05-26,House Wine (glass),Drinks,6,6.00,36.00
2026-05-26,Tiramisu,Desserts,4,6.50,26.00
2026-05-26,Gelato,Desserts,3,4.50,13.50
2026-05-26,Roasted Pumpkin Soup,Seasonal,1,7.00,7.00
2026-05-26,Chef's Special,,1,10.00,10.00
2026-05-27,Margherita Pizza,Mains,14,9.50,133.00
2026-05-27,Pepperoni Pizza,Mains,12,11.00,132.00
2026-05-27,Lasagne,Mains,7,12.50,87.50
2026-05-27,Grilled Chicken,Mains,5,13.00,65.00
2026-05-27,Garlic Bread,Sides,11,4.00,44.00
2026-05-27,House Fries,Sides,15,3.00,45.00
2026-05-27,"Olive, Herb & Feta Flatbread",Sides,1,7.50,7.50
2026-05-27,Still Water,Drinks,6,2.00,12.00
2026-05-27,Soft Drink,Drinks,10,2.50,25.00
2026-05-27,House Wine (glass),Drinks,7,6.00,42.00
2026-05-27,Tiramisu,Desserts,4,6.50,26.00
2026-05-27,Gelato,Desserts,4,4.50,18.00
2026-05-27,Roasted Pumpkin Soup,Seasonal,1,7.00,7.00
2026-05-27,Chef's Special,,1,10.00,10.00
2026-05-28,Margherita Pizza,Mains,15,9.50,142.50
2026-05-28,Pepperoni Pizza,Mains,13,11.00,143.00
2026-05-28,Lasagne,Mains,8,12.50,100.00
2026-05-28,Grilled Chicken,Mains,6,13.00,78.00
2026-05-28,Garlic Bread,Sides,12,4.00,48.00
2026-05-28,House Fries,Sides,18,3.00,54.00
2026-05-28,"Olive, Herb & Feta Flatbread",Sides,1,7.50,7.50
2026-05-28,Still Water,Drinks,7,2.00,14.00
2026-05-28,Soft Drink,Drinks,13,2.50,32.50
2026-05-28,House Wine (glass),Drinks,8,6.00,48.00
2026-05-28,Tiramisu,Desserts,5,6.50,32.50
2026-05-28,Gelato,Desserts,4,4.50,18.00
2026-05-28,Roasted Pumpkin Soup,Seasonal,1,7.00,7.00
2026-05-28,Chef's Special,,1,10.00,10.00
2026-05-29,Margherita Pizza,Mains,21,9.50,199.50
2026-05-29,Pepperoni Pizza,Mains,18,11.00,198.00
2026-05-29,Lasagne,Mains,10,12.50,125.00
2026-05-29,Grilled Chicken,Mains,9,13.00,117.00
2026-05-29,Garlic Bread,Sides,14,4.00,56.00
2026-05-29,House Fries,Sides,22,3.00,66.00
2026-05-29,"Olive, Herb & Feta Flatbread",Sides,2,7.50,15.00
2026-05-29,Beetroot & Feta Salad,Sides,1,8.50,8.50
2026-05-29,Still Water,Drinks,10,2.00,20.00
2026-05-29,Soft Drink,Drinks,16,2.50,40.00
2026-05-29,House Wine (glass),Drinks,10,5.50,55.00
2026-05-29,Tiramisu,Desserts,6,6.50,39.00
2026-05-29,Gelato,Desserts,5,4.50,22.50
2026-05-29,Roasted Pumpkin Soup,Seasonal,2,7.00,14.00
2026-05-29,Chef's Special,,1,10.00,10.00
2026-05-30,Margherita Pizza,Mains,21,9.50,199.50
2026-05-30,Pepperoni Pizza,Mains,17,11.00,187.00
2026-05-30,Lasagne,Mains,10,12.50,125.00
2026-05-30,Grilled Chicken,Mains,8,13.00,104.00
2026-05-30,Garlic Bread,Sides,15,4.00,60.00
2026-05-30,House Fries,Sides,24,3.00,72.00
2026-05-30,"Olive, Herb & Feta Flatbread",Sides,2,7.50,15.00
2026-05-30,Beetroot & Feta Salad,Sides,1,8.50,8.50
2026-05-30,Still Water,Drinks,10,2.00,20.00
2026-05-30,Soft Drink,Drinks,17,2.50,42.50
2026-05-30,House Wine (glass),Drinks,11,6.00,66.00
2026-05-30,Tiramisu,Desserts,6,6.50,39.00
2026-05-30,Gelato,Desserts,5,4.50,22.50
2026-05-30,Roasted Pumpkin Soup,Seasonal,2,7.00,14.00
2026-05-30,Chef's Special,,1,10.00,10.00
2026-05-31,Margherita Pizza,Mains,14,9.50,133.00
2026-05-31,Pepperoni Pizza,Mains,13,11.00,143.00
2026-05-31,Lasagne,Mains,7,12.50,87.50
2026-05-31,Grilled Chicken,Mains,7,13.00,91.00
2026-05-31,Garlic Bread,Sides,11,4.00,44.00
2026-05-31,House Fries,Sides,16,3.00,48.00
2026-05-31,"Olive, Herb & Feta Flatbread",Sides,1,7.50,7.50
2026-05-31,Beetroot & Feta Salad,Sides,1,8.50,8.50
2026-05-31,Still Water,Drinks,7,2.00,14.00
2026-05-31,Soft Drink,Drinks,12,2.50,30.00
2026-05-31,House Wine (glass),Drinks,7,6.00,42.00
2026-05-31,Tiramisu,Desserts,5,6.50,32.50
2026-05-31,Gelato,Desserts,3,4.50,13.50
2026-05-31,Roasted Pumpkin Soup,Seasonal,1,7.00,7.00
2026-05-31,Chef's Special,,1,10.00,10.00
2026-06-01,Margherita Pizza,Mains,14,9.50,133.00
2026-06-01,Pepperoni Pizza,Mains,13,11.00,143.00
2026-06-01,Lasagne,Mains,6,12.50,75.00
2026-06-01,Grilled Chicken,Mains,6,13.00,78.00
2026-06-01,Garlic Bread,Sides,10,4.00,40.00
2026-06-01,House Fries,Sides,17,3.00,51.00
2026-06-01,"Olive, Herb & Feta Flatbread",Sides,1,7.50,7.50
2026-06-01,Still Water,Drinks,6,2.00,12.00
2026-06-01,Soft Drink,Drinks,10,2.50,25.00
2026-06-01,House Wine (glass),Drinks,7,6.00,42.00
2026-06-01,Tiramisu,Desserts,4,6.50,26.00
2026-06-01,Gelato,Desserts,3,4.50,13.50
2026-06-01,Roasted Pumpkin Soup,Seasonal,1,7.00,7.00
2026-06-01,Chef's Special,,1,10.00,10.00
2026-06-02,Margherita Pizza,Mains,13,8.55,111.15
2026-06-02,Pepperoni Pizza,Mains,12,11.00,132.00
2026-06-02,Lasagne,Mains,6,12.50,75.00
2026-06-02,Grilled Chicken,Mains,5,13.00,65.00
2026-06-02,Garlic Bread,Sides,10,4.00,40.00
2026-06-02,House Fries,Sides,15,3.00,45.00
2026-06-02,"Olive, Herb & Feta Flatbread",Sides,1,7.50,7.50
2026-06-02,Still Water,Drinks,6,2.00,12.00
2026-06-02,Soft Drink,Drinks,11,2.50,27.50
2026-06-02,House Wine (glass),Drinks,6,6.00,36.00
2026-06-02,Tiramisu,Desserts,4,6.50,26.00
2026-06-02,Gelato,Desserts,3,4.50,13.50
2026-06-02,Roasted Pumpkin Soup,Seasonal,1,7.00,7.00
2026-06-02,Chef's Special,,1,10.00,10.00
2026-06-03,Margherita Pizza,Mains,16,9.50,152.00
2026-06-03,Pepperoni Pizza,Mains,13,11.00,143.00
2026-06-03,Lasagne,Mains,7,12.50,87.50
2026-06-03,Grilled Chicken,Mains,6,13.00,78.00
2026-06-03,Garlic Bread,Sides,10,4.00,40.00
2026-06-03,House Fries,Sides,16,3.00,48.00
2026-06-03,"Olive, Herb & Feta Flatbread",Sides,1,7.50,7.50
2026-06-03,Still Water,Drinks,7,2.00,14.00
2026-06-03,Soft Drink,Drinks,11,2.50,27.50
2026-06-03,House Wine (glass),Drinks,7,6.00,42.00
2026-06-03,Tiramisu,Desserts,5,6.50,32.50
2026-06-03,Gelato,Desserts,4,4.50,18.00
2026-06-03,Roasted Pumpkin Soup,Seasonal,1,7.00,7.00
2026-06-03,Chef's Special,,1,10.00,10.00
2026-06-04,Margherita Pizza,Mains,15,9.50,142.50
2026-06-04,Pepperoni Pizza,Mains,14,11.00,154.00
2026-06-04,Lasagne,Mains,8,12.50,100.00
2026-06-04,Grilled Chicken,Mains,7,13.00,91.00
2026-06-04,Garlic Bread,Sides,11,4.00,44.00
2026-06-04,House Fries,Sides,17,3.00,51.00
2026-06-04,"Olive, Herb & Feta Flatbread",Sides,1,7.50,7.50
2026-06-04,Still Water,Drinks,8,2.00,16.00
2026-06-04,Soft Drink,Drinks,11,2.50,27.50
2026-06-04,House Wine (glass),Drinks,7,6.00,42.00
2026-06-04,Tiramisu,Desserts,5,6.50,32.50
2026-06-04,Gelato,Desserts,4,4.50,18.00
2026-06-04,Roasted Pumpkin Soup,Seasonal,1,7.00,7.00
2026-06-04,Chef's Special,,1,10.00,10.00
2026-06-05,Margherita Pizza,Mains,20,9.50,190.00
2026-06-05,Pepperoni Pizza,Mains,18,11.00,198.00
2026-06-05,Lasagne,Mains,10,12.50,125.00
2026-06-05,Grilled Chicken,Mains,8,13.00,104.00
2026-06-05,Garlic Bread,Sides,15,4.00,60.00
2026-06-05,House Fries,Sides,24,3.00,72.00
2026-06-05,"Olive, Herb & Feta Flatbread",Sides,2,7.50,15.00
2026-06-05,Beetroot & Feta Salad,Sides,1,8.50,8.50
2026-06-05,Still Water,Drinks,10,2.00,20.00
2026-06-05,Soft Drink,Drinks,16,2.50,40.00
2026-06-05,House Wine (glass),Drinks,10,5.50,55.00
2026-06-05,Tiramisu,Desserts,6,6.50,39.00
2026-06-05,Gelato,Desserts,5,4.50,22.50
2026-06-05,Roasted Pumpkin Soup,Seasonal,2,7.00,14.00
2026-06-05,Chef's Special,,1,10.00,10.00
2026-06-06,Margherita Pizza,Mains,21,9.50,199.50
2026-06-06,Pepperoni Pizza,Mains,18,11.00,198.00
2026-06-06,Lasagne,Mains,11,12.50,137.50
2026-06-06,Grilled Chicken,Mains,9,13.00,117.00
2026-06-06,Garlic Bread,Sides,15,4.00,60.00
2026-06-06,House Fries,Sides,24,3.00,72.00
2026-06-06,"Olive, Herb & Feta Flatbread",Sides,1,7.50,7.50
2026-06-06,Beetroot & Feta Salad,Sides,1,8.50,8.50
2026-06-06,Still Water,Drinks,11,2.00,22.00
2026-06-06,Soft Drink,Drinks,18,2.50,45.00
2026-06-06,House Wine (glass),Drinks,11,6.00,66.00
2026-06-06,Tiramisu,Desserts,7,6.50,45.50
2026-06-06,Gelato,Desserts,5,4.50,22.50
2026-06-06,Roasted Pumpkin Soup,Seasonal,2,7.00,14.00
2026-06-06,Chef's Special,,1,10.00,10.00
2026-06-07,Margherita Pizza,Mains,16,9.50,152.00
2026-06-07,Pepperoni Pizza,Mains,13,11.00,143.00
2026-06-07,Lasagne,Mains,7,12.50,87.50
2026-06-07,Grilled Chicken,Mains,7,13.00,91.00
2026-06-07,Garlic Bread,Sides,11,4.00,44.00
2026-06-07,House Fries,Sides,16,3.00,48.00
2026-06-07,"Olive, Herb & Feta Flatbread",Sides,1,7.50,7.50
2026-06-07,Still Water,Drinks,7,2.00,14.00
2026-06-07,Soft Drink,Drinks,11,2.50,27.50
2026-06-07,House Wine (glass),Drinks,8,6.00,48.00
2026-06-07,Tiramisu,Desserts,4,6.50,26.00
2026-06-07,Gelato,Desserts,3,4.50,13.50
2026-06-07,Roasted Pumpkin Soup,Seasonal,1,7.00,7.00
2026-06-07,Chef's Special,,1,10.00,10.00
2026-06-08,Margherita Pizza,Mains,14,9.50,133.00
2026-06-08,Pepperoni Pizza,Mains,13,11.00,143.00
2026-06-08,Lasagne,Mains,6,12.50,75.00
2026-06-08,Grilled Chicken,Mains,6,13.00,78.00
2026-06-08,Garlic Bread,Sides,9,4.00,36.00
2026-06-08,House Fries,Sides,15,3.00,45.00
2026-06-08,"Olive, Herb & Feta Flatbread",Sides,1,7.50,7.50
2026-06-08,Still Water,Drinks,7,2.00,14.00
2026-06-08,Soft Drink,Drinks,12,2.50,30.00
2026-06-08,House Wine (glass),Drinks,6,6.00,36.00
2026-06-08,Tiramisu,Desserts,4,6.50,26.00
2026-06-08,Gelato,Desserts,3,4.50,13.50
2026-06-08,Roasted Pumpkin Soup,Seasonal,1,7.00,7.00
2026-06-08,Chef's Special,,1,10.00,10.00
2026-06-09,Margherita Pizza,Mains,13,8.55,111.15
2026-06-09,Pepperoni Pizza,Mains,12,11.00,132.00
2026-06-09,Lasagne,Mains,7,12.50,87.50
2026-06-09,Grilled Chicken,Mains,6,13.00,78.00
2026-06-09,Garlic Bread,Sides,10,4.00,40.00
2026-06-09,House Fries,Sides,14,3.00,42.00
2026-06-09,"Olive, Herb & Feta Flatbread",Sides,1,7.50,7.50
2026-06-09,Still Water,Drinks,6,2.00,12.00
2026-06-09,Soft Drink,Drinks,10,2.50,25.00
2026-06-09,House Wine (glass),Drinks,6,6.00,36.00
2026-06-09,Tiramisu,Desserts,4,6.50,26.00
2026-06-09,Gelato,Desserts,3,4.50,13.50
2026-06-09,Roasted Pumpkin Soup,Seasonal,1,7.00,7.00
2026-06-09,Chef's Special,,1,10.00,10.00
2026-06-10,Margherita Pizza,Mains,15,9.50,142.50
2026-06-10,Pepperoni Pizza,Mains,13,11.00,143.00
2026-06-10,Lasagne,Mains,7,12.50,87.50
2026-06-10,Grilled Chicken,Mains,6,13.00,78.00
2026-06-10,Garlic Bread,Sides,11,4.00,44.00
2026-06-10,House Fries,Sides,18,3.00,54.00
2026-06-10,"Olive, Herb & Feta Flatbread",Sides,1,7.50,7.50
2026-06-10,Beetroot & Feta Salad,Sides,1,8.50,8.50
2026-06-10,Still Water,Drinks,7,2.00,14.00
2026-06-10,Soft Drink,Drinks,12,2.50,30.00
2026-06-10,House Wine (glass),Drinks,7,6.00,42.00
2026-06-10,Tiramisu,Desserts,4,6.50,26.00
2026-06-10,Gelato,Desserts,4,4.50,18.00
2026-06-10,Roasted Pumpkin Soup,Seasonal,1,7.00,7.00
2026-06-10,Chef's Special,,1,10.00,10.00
2026-06-11,Margherita Pizza,Mains,17,9.50,161.50
2026-06-11,Pepperoni Pizza,Mains,14,11.00,154.00
2026-06-11,Lasagne,Mains,7,12.50,87.50
2026-06-11,Grilled Chicken,Mains,7,13.00,91.00
2026-06-11,Garlic Bread,Sides,10,4.00,40.00
2026-06-11,House Fries,Sides,18,3.00,54.00
2026-06-11,"Olive, Herb & Feta Flatbread",Sides,1,7.50,7.50
2026-06-11,Beetroot & Feta Salad,Sides,1,8.50,8.50
2026-06-11,Still Water,Drinks,8,2.00,16.00
2026-06-11,Soft Drink,Drinks,13,2.50,32.50
2026-06-11,House Wine (glass),Drinks,7,6.00,42.00
2026-06-11,Tiramisu,Desserts,5,6.50,32.50
2026-06-11,Gelato,Desserts,4,4.50,18.00
2026-06-11,Roasted Pumpkin Soup,Seasonal,1,7.00,7.00
2026-06-11,Chef's Special,,1,10.00,10.00
2026-06-12,Margherita Pizza,Mains,22,9.50,209.00
2026-06-12,Pepperoni Pizza,Mains,20,11.00,220.00
2026-06-12,Lasagne,Mains,10,12.50,125.00
2026-06-12,Grilled Chicken,Mains,9,13.00,117.00
2026-06-12,Garlic Bread,Sides,14,4.00,56.00
2026-06-12,House Fries,Sides,26,3.00,78.00
2026-06-12,"Olive, Herb & Feta Flatbread",Sides,2,7.50,15.00
2026-06-12,Beetroot & Feta Salad,Sides,1,8.50,8.50
2026-06-12,Still Water,Drinks,10,2.00,20.00
2026-06-12,Soft Drink,Drinks,18,2.50,45.00
2026-06-12,House Wine (glass),Drinks,10,5.50,55.00
2026-06-12,Tiramisu,Desserts,6,6.50,39.00
2026-06-12,Gelato,Desserts,6,4.50,27.00
2026-06-12,Roasted Pumpkin Soup,Seasonal,2,7.00,14.00
2026-06-12,Chef's Special,,1,10.00,10.00
2026-06-13,Margherita Pizza,Mains,20,9.50,190.00
2026-06-13,Pepperoni Pizza,Mains,18,11.00,198.00
2026-06-13,Lasagne,Mains,10,12.50,125.00
2026-06-13,Grilled Chicken,Mains,9,13.00,117.00
2026-06-13,Garlic Bread,Sides,16,4.00,64.00
2026-06-13,House Fries,Sides,24,3.00,72.00
2026-06-13,"Olive, Herb & Feta Flatbread",Sides,2,7.50,15.00
2026-06-13,Beetroot & Feta Salad,Sides,1,8.50,8.50
2026-06-13,Still Water,Drinks,10,2.00,20.00
2026-06-13,Soft Drink,Drinks,16,2.50,40.00
2026-06-13,House Wine (glass),Drinks,11,6.00,66.00
2026-06-13,Tiramisu,Desserts,6,6.50,39.00
2026-06-13,Gelato,Desserts,5,4.50,22.50
2026-06-13,Roasted Pumpkin Soup,Seasonal,2,7.00,14.00
2026-06-13,Chef's Special,,1,10.00,10.00
2026-06-14,Margherita Pizza,Mains,15,9.50,142.50
2026-06-14,Pepperoni Pizza,Mains,15,11.00,165.00
2026-06-14,Lasagne,Mains,7,12.50,87.50
2026-06-14,Grilled Chicken,Mains,6,13.00,78.00
2026-06-14,Garlic Bread,Sides,10,4.00,40.00
2026-06-14,House Fries,Sides,17,3.00,51.00
2026-06-14,"Olive, Herb & Feta Flatbread",Sides,1,7.50,7.50
2026-06-14,Still Water,Drinks,8,2.00,16.00
2026-06-14,Soft Drink,Drinks,11,2.50,27.50
2026-06-14,House Wine (glass),Drinks,7,6.00,42.00
2026-06-14,Tiramisu,Desserts,4,6.50,26.00
2026-06-14,Gelato,Desserts,4,4.50,18.00
2026-06-14,Roasted Pumpkin Soup,Seasonal,1,7.00,7.00
2026-06-14,Chef's Special,,1,10.00,10.00
2026-06-15,Margherita Pizza,Mains,14,9.50,133.00
2026-06-15,Pepperoni Pizza,Mains,14,11.00,154.00
2026-06-15,Lasagne,Mains,7,12.50,87.50
2026-06-15,Grilled Chicken,Mains,5,13.00,65.00
2026-06-15,Garlic Bread,Sides,10,4.00,40.00
2026-06-15,House Fries,Sides,17,3.00,51.00
2026-06-15,"Olive, Herb & Feta Flatbread",Sides,1,7.50,7.50
2026-06-15,Still Water,Drinks,7,2.00,14.00
2026-06-15,Soft Drink,Drinks,11,2.50,27.50
2026-06-15,House Wine (glass),Drinks,7,6.00,42.00
2026-06-15,Tiramisu,Desserts,4,6.50,26.00
2026-06-15,Gelato,Desserts,3,4.50,13.50
2026-06-15,Roasted Pumpkin Soup,Seasonal,1,7.00,7.00
2026-06-15,Chef's Special,,1,10.00,10.00
2026-06-16,Margherita Pizza,Mains,14,8.55,119.70
2026-06-16,Pepperoni Pizza,Mains,11,11.00,121.00
2026-06-16,Lasagne,Mains,6,12.50,75.00
2026-06-16,Grilled Chicken,Mains,5,13.00,65.00
2026-06-16,Garlic Bread,Sides,9,4.00,36.00
2026-06-16,House Fries,Sides,16,3.00,48.00
2026-06-16,"Olive, Herb & Feta Flatbread",Sides,1,7.50,7.50
2026-06-16,Still Water,Drinks,6,2.00,12.00
2026-06-16,Soft Drink,Drinks,10,2.50,25.00
2026-06-16,House Wine (glass),Drinks,7,6.00,42.00
2026-06-16,Tiramisu,Desserts,4,6.50,26.00
2026-06-16,Gelato,Desserts,3,4.50,13.50
2026-06-16,Roasted Pumpkin Soup,Seasonal,1,7.00,7.00
2026-06-16,Chef's Special,,1,10.00,10.00
2026-06-17,Margherita Pizza,Mains,15,9.50,142.50
2026-06-17,Pepperoni Pizza,Mains,14,11.00,154.00
2026-06-17,Lasagne,Mains,7,12.50,87.50
2026-06-17,Grilled Chicken,Mains,6,13.00,78.00
2026-06-17,Garlic Bread,Sides,10,4.00,40.00
2026-06-17,House Fries,Sides,17,3.00,51.00
2026-06-17,"Olive, Herb & Feta Flatbread",Sides,1,7.50,7.50
2026-06-17,Still Water,Drinks,6,2.00,12.00
2026-06-17,Soft Drink,Drinks,11,2.50,27.50
2026-06-17,House Wine (glass),Drinks,7,6.00,42.00
2026-06-17,Tiramisu,Desserts,4,6.50,26.00
2026-06-17,Gelato,Desserts,3,4.50,13.50
2026-06-17,Roasted Pumpkin Soup,Seasonal,1,7.00,7.00
2026-06-17,Chef's Special,,1,10.00,10.00
2026-06-18,Margherita Pizza,Mains,15,9.50,142.50
2026-06-18,Pepperoni Pizza,Mains,13,11.00,143.00
2026-06-18,Lasagne,Mains,8,12.50,100.00
2026-06-18,Grilled Chicken,Mains,7,13.00,91.00
2026-06-18,Garlic Bread,Sides,11,4.00,44.00
2026-06-18,House Fries,Sides,18,3.00,54.00
2026-06-18,"Olive, Herb & Feta Flatbread",Sides,1,7.50,7.50
2026-06-18,Beetroot & Feta Salad,Sides,1,8.50,8.50
